liga;equipo;año;ingresos_totales;ingresos_matchday;ingresos_broadcasting;ingresos_comerciales;otros;gastos_totales;masa_salarial;endeudamiento;resultado_neto
LaLiga EA Sports;Real Madrid C.F.;2004;236.001;62.575;69.517;85.305;18.604;198.016;123.646;-6.341;6.065
LaLiga EA Sports;Real Madrid C.F.;2005;275.653;70.815;65.149;116.818;22.871;245.372;144.483;-3.438;6.032
LaLiga EA Sports;Real Madrid C.F.;2006;292.216;84.865;72.725;115.955;18.671;258.704;135.945;-1.257;19.541
LaLiga EA Sports;Real Madrid C.F.;2007;350.950;94.384;114.865;124.178;17.523;322.812;167.476;-14.400;35.226
LaLiga EA Sports;Real Madrid C.F.;2008;360.847;115.890;118.534;114.183;12.240;351.620;167.121;-803;35.307
LaLiga EA Sports;Real Madrid C.F.;2009;401.255;116.904;144.450;123.398;16.503;390.045;187.191;38.087;21.477
LaLiga EA Sports;Real Madrid C.F.;2010;438.422;148.593;136.159;122.487;31.183;433.221;192.263;309.459;24.000
LaLiga EA Sports;Real Madrid C.F.;2011;479.316;146.663;155.968;144.966;31.719;436.946;216.099;219.177;23.931
LaLiga EA Sports;Real Madrid C.F.;2012;512.435;150.190;159.192;162.632;40.421;490.204;233.946;159.753;31.523
LaLiga EA Sports;Real Madrid C.F.;2013;518.715;145.786;162.836;160.505;49.588;483.602;245.997;86.625;24.166
LaLiga EA Sports;Real Madrid C.F.;2014;549.321;139.894;162.690;170.647;76.090;531.925;269.597;118.057;36.847
LaLiga EA Sports;Real Madrid C.F.;2015;576.781;151.284;163.484;208.082;53.931;582.344;289.251;175.449;42.018
LaLiga EA Sports;Real Madrid C.F.;2016;619.939;153.730;167.577;212.364;86.268;580.544;306.877;23.926;30.280
LaLiga EA Sports;Real Madrid C.F.;2017;672.894;166.569;165.299;254.138;86.888;698.695;406.109;9.407;21.372
LaLiga EA Sports;Real Madrid C.F.;2018;749.746;174.226;178.413;295.203;101.904;760.349;430.751;-55.085;31.174
LaLiga EA Sports;Real Madrid C.F.;2019;755.601;173.372;172.991;295.172;114.066;755.151;394.221;18.434;38.394
LaLiga EA Sports;Real Madrid C.F.;2020;713.701;126.297;148.570;312.105;126.729;841.289;411.043;397.325;313
LaLiga EA Sports;Real Madrid C.F.;2021;649.689;10.257;207.709;314.226;117.497;770.244;402.957;394.613;874
LaLiga EA Sports;Real Madrid C.F.;2022;719.778;104.303;178.940;290.140;146.395;1.016.133;519.030;318.453;12.936
LaLiga EA Sports;Real Madrid C.F.;2023;831.213;151.843;186.813;329.812;162.745;913.479;452.701;951.274;11.826
LaLiga EA Sports;Real Madrid C.F.;2024;1.055.692;306.970;179.257;406.629;162.836;1.064.065;504.974;1.255.052;15.627
LaLiga EA Sports;Real Madrid C.F.;2025;1.161.022;326.092;162.086;481.164;191.680;1.144.191;514.230;1.383.959;24.322
LaLiga EA Sports;F.C. Barcelona;2004;169.231;;;;13.298;162.476;88.070;164.700;1.494
LaLiga EA Sports;F.C. Barcelona;2005;207.872;;;;13.451;189.493;102.335;203.677;36.715
LaLiga EA Sports;F.C. Barcelona;2006;259.090;;;;23.219;242.305;151.984;173.203;32.981
LaLiga EA Sports;F.C. Barcelona;2007;290.103;;;;16.912;270.638;154.389;149.540;6.821
LaLiga EA Sports;F.C. Barcelona;2008;308.785;;;;20.496;292.630;168.356;191.425;10.069
LaLiga EA Sports;F.C. Barcelona;2009;365.911;;;;22.878;361.702;201.312;63.529;6.652
LaLiga EA Sports;F.C. Barcelona;2010;398.054;;;;26.528;459.241;234.811;163.476;-79.643
LaLiga EA Sports;F.C. Barcelona;2011;450.654;110.705;163.045;143.376;33.528;425.418;240.646;98.811;-9.322
LaLiga EA Sports;F.C. Barcelona;2012;482.999;116.346;160.472;162.361;43.820;423.228;233.312;130.263;48.781
LaLiga EA Sports;F.C. Barcelona;2013;482.588;117.587;161.669;166.474;36.858;425.045;237.817;42.242;32.488
LaLiga EA Sports;F.C. Barcelona;2014;484.639;116.871;160.876;160.162;46.730;451.245;247.752;33.241;41.118
LaLiga EA Sports;F.C. Barcelona;2015;560.697;120.536;162.312;221.713;56.136;568.430;349.539;7.312;15.150
LaLiga EA Sports;F.C. Barcelona;2016;620.115;128.583;168.142;260.055;63.335;599.757;371.735;3.040;28.769
LaLiga EA Sports;F.C. Barcelona;2017;706.927;143.837;177.959;316.393;68.738;628.547;377.934;-30.807;18.134
